,Question,Correct_Answer,mcoptions
0,When were the early descriptions of Chhatrapati Shivaji Maharaj's birth and boyhood written?,several years after his death, (A) during his lifetime (B) while he was an orphan (C) several years after his death (D) while he was ill
1,What had developed around Chhatrapati Shivaji Maharaj's legend?,folk tales and stories, (A) newspapers (B) magazines (C) scientific investigations (D) folk tales and stories
2,Where was Chhatrapati Shivaji Maharaj born?,Shivneri, (A) Puducherry (B) Patna (C) Shivneri (D) Ranchi
3,When was Chhatrapati Shivaji Maharaj born?,Jijabai was pregnant," (A) Jaibai was pregnant (B) Chhatrapati Shivaji Maharaj was born (C) In the year 1690, Jaibai was a prince (D) In the year 1790, Jaibai was a princess"
4,Who was Chhatrapati Shivaji Maharaj named after?,local deity, (A) explorer (B) scientist (C) local deity (D) inventor
5,Who was Chhatrapati Shivaji Maharaj's father?,Shahaji Bhosale, (A)Shahaji Bhosale (B) Ayesha Devi (C) Hari Prasad (D) Anand Kumar
6,Who was Chhatrapati Shivaji Maharaj's mother?,Rajmata Jijabai, (A) Pandit Katia (B) Rupa Devi (C) Hari Prabhu (D) Rajmata Jijabai
7,How many Islamic Sultanates shared the power in Deccan?,three, (A) one (B) two (C) three (D) four ; $mcoptions$ = (A) one (B) three (C) four (D) five
8,Who did Shahaji change his loyalty between?,"Nizamshahi ofAhmadnagar, Adil Shah of Bijapur and the Mughals"," (A) Nizamshahi ofAhmadnagar, Adil Shah of Bijapur and the Mughals (B) Nizamshahi ofAhmadnagar, Adil Shah of Bijapur and the Mughals (C) Adil Shah of Bijapur and the Mughals (D) Adil Shah of Bijapur and the Mughals"
9,Who deputed Gomaji Naik Pansambal?,Lakhuji Yadavrao, (A) Gomaji Naik Pansambal (B) Lakhuji Yadavrao (C) Hari Prasad (D) Hari Muhammed Ali
10,Who did Gomaji Naik Pansambal remain with throughout his life?,Jijabai and Chhatrapati Shivaji Maharaj, (A) Jonny and Chhatrapati Shivaji Maharaj (B) Ayesha and Ayesha (C) Jijabai and Chhatrapati Shivaji Maharaj (D) Ayesha and Chhatrapati Shivaji Maharaj
11,What was Gomaji Naik Pansambal a master of?,sword, (A) shield (B) axe (C) spear (D) sword
12,At what age was Chhatrapati Shivaji Maharaj taken to Banglore?,12, (A) 12 (B) 14 (C) 18 (D) 21 ; $mcoptions$ = (A) 12 (B) 14 (C) 18 (D) 21
13,At what age did Chhatrapati Shivaji Maharaj return to Pune?,14, (A) 12 (B) 14 (C) 18 (D) 21
14,Who was Chhatrapati Shivaji Maharaj extremely devoted to?,his mother, (A) his mother (B) his dog (C) his sand castle (D) his tan grove
